lam_nm,A_active
5.822451317296678326e+02,9.190985292665635464e-01
5.791492593999241763e+02,9.198275124192388796e-01
5.760861352474501018e+02,9.208394483296649113e-01
5.730552423900788881e+02,9.219147011631642075e-01
5.700560747663550956e+02,9.228124525710974524e-01
5.670881368538491643e+02,9.235718574540123793e-01
5.641509433962263529e+02,9.244516295736013856e-01
5.612440191387560162e+02,9.255876820802854121e-01
5.583668985719516513e+02,9.268086303723245267e-01
5.555191256830602242e+02,9.278442960348893820e-01
5.527002537151140587e+02,9.286584320551807270e-01
5.499098449332852852e+02,9.294800310282611555e-01
5.471474703982778465e+02,9.304957726372614646e-01
5.444127097465191127e+02,9.315993820839171269e-01
5.417051509769094082e+02,9.325180323680212213e-01
5.390243902439025305e+02,9.331517729389354754e-01
5.363700316567006894e+02,9.336908161062645872e-01
5.337416870843542256e+02,9.343622944859759638e-01
5.311389759665622705e+02,9.351325765208957641e-01
5.285615251299826696e+02,9.357459181214538013e-01
5.260089686098655193e+02,9.360479485674790823e-01
5.234809474768280779e+02,9.361785824697964609e-01
5.209771096686027931e+02,9.363880500972097121e-01
5.184971098265896217e+02,9.367128737591452481e-01
5.160406091370557533e+02,9.369267812957650099e-01
5.136072751768272155e+02,9.368284310444618956e-01
5.111967817633255891e+02,9.364968965554747449e-01
5.088088088088087488e+02,9.361881180988004258e-01
5.064430421786781835e+02,9.360054373552056939e-01
5.040991735537190266e+02,9.357660477493470186e-01
5.017769002961500178e+02,9.352342225079248728e-01
4.994759253193580548e+02,9.344231632207574689e-01
4.971959569611998973e+02,9.335796449066366964e-01
4.949367088607594951e+02,9.328708723798063707e-01
4.926978998384490751e+02,9.321733802342055952e-01
4.904792537793503016e+02,9.312338337680585720e-01
4.882804995196926825e+02,9.299970753000806889e-01
4.861013707363723029e+02,9.286829416121492597e-01
4.839416058394160700e+02,9.275131012725592594e-01
4.818009478672986461e+02,9.264352881853146204e-01
4.796791443850267456e+02,9.251964261079288487e-01
4.775759473849044525e+02,9.236724182519072679e-01
4.754911131898970780e+02,9.220352085436801515e-01
4.734244023595157387e+02,9.205437782637131416e-01
4.713755795981452934e+02,9.192237790200156189e-01
4.693444136657433319e+02,9.178429802073849730e-01
